# Region type : patch inlet
# Faces       : 120
# Area        : 1.090591e-05
# Scale factor: 1.000000e+00
# Weight field: alpha.water
# Time        	weightedAreaIntegrate(phi)
0             	0.000000e+00
0.05          	-3.868752e-15
0.1           	-7.299907e-15
0.15          	-9.971945e-15
0.2           	-6.039712e-15
0.25          	-8.098762e-15
0.3           	-7.070259e-15
0.35          	-6.181998e-15
0.4           	-5.567444e-15
0.45          	-5.088173e-15
0.5           	-4.707659e-15
0.55          	-4.406798e-15
0.6           	-4.159121e-15
0.65          	-3.961832e-15
0.7           	-3.800464e-15
0.75          	-3.666842e-15
0.8           	-3.565672e-15
0.85          	-3.477893e-15
0.9           	-3.409679e-15
0.95          	-3.351552e-15
1             	-3.308502e-15
